issn,journal,subject,ft2016,cnrs2020,den2021,hceres2021,meta2023,ajg_abs2024,ejl2024,scopus2024,vhb2024,abdc2025,fnege2025
0021-8863,The Journal of Applied Behavioral Science,Psychology,,3,1,B,,2,,7.8,C,B,3
0021-9010,Journal of Applied Psychology,Psychology,1,1,2,A,A+,4*,P*,17.6,A,A*,1*
0021-9029,Journal of Applied Social Psychology,Psychology,,,1,,,2,,4.3,B,B,4
0021-9886,Journal of Common Market Studies,Economics,,3,2,B,,3,S,5.3,,B,
0021-9916,Journal of Communication,Comm,,,2,,,,EP*,11.6,,A,4
0022-0027,Journal of Conflict Resolution,"OS/OB,HRM/IR",,,2,,A,3,EP,5.3,,A*,2
0022-0078,Journal of Consumer Affairs,Marketing,,3,1,B,B,1,S,4.6,C,A,3
0022-0221,Journal of Cross-Cultural Psychology,Psychology,,,2,,,3,,4.6,B,A,
0022-037X,Journal of Developing Areas,Economics,,,2,,,1,,N/A,,,
0022-0388,Journal of Development Studies,Economics,,2,2,A,,3,,5.2,,A,3
0022-0485,Journal of Economic Education,Education,,3,1,B,,1,,2.4,,B,
0022-0507,Journal of Economic History,Economics,,1,2,A,,3,EP*,2.8,,A*,
0022-0515,Journal of Economic Literature,Economics,,1*,1,A,,4,EP*,17.8,A,A*,
0022-0531,Journal of Economic Theory,Economics,,1,2,A,,4,,2.5,A,A*,
0022-1031,Journal of Experimental Social Psychology,Psychology,,,1,,,4,,6.3,A,A,
0022-1082,Journal of Finance,F&A,1,1*,2,A,A+,4*,P*,12.9,A+,A*,1*
0022-1090,Journal of Financial and Quantitative Analysis,F&A,1,1,2,A,A,4,P*,6.6,A,A*,1
0022-1546,Journal of Higher Education,Education,,,2,,,2,EP,5.7,,,4
0022-166X,Journal of Human Resources,"OS/OB,HRM/IR",,1,2,A,A,3,EP*,7.0,B,A*,2
0022-1821,Journal of Industrial Economics,Economics,,1,2,A,B,3,,1.6,B,A*,3
0022-1856,Journal of Industrial Relations,"OS/OB,HRM/IR",,,1,C,B,2,,4.0,B,A,4
0022-1996,Journal of International Economics,Economics,,1,2,A,,4,EP,5.8,A,A*,
0022-2186,Journal of Law and Economics,Economics,,1,1,A,B,3,,2.4,A,A*,2
0022-2380,Journal of Management Studies,Gen & Strat,1,1,2,A,A,4,P*,16.4,A,A*,1
0022-2429,Journal of Marketing,Marketing,1,1*,2,A,A+,4*,P*,24.1,A+,A*,1*
0022-2437,Journal of Marketing Research,Marketing,1,1,2,A,A+,4*,P*,10.3,A+,A*,1*
0022-2496,Journal of Mathematical Psychology,Psychology,,,1,,,3,,3.7,,,
0022-2879,"Journal of Money, Credit and Banking",F&A,,1,1,A,B,4,P,2.9,A,A*,1
0022-3239,Journal of Optimization Theory and Applications,"OR,MS,POM",,,1,,B,3,,3.3,,A,
0022-3506,Journal of Personality,Psychology,,,2,,,3,EP,9.6,,A,
0022-3514,Journal of Personality and Social Psychology,Psychology,,,2,,,4,EP*,12.7,A+,A*,
0022-3808,Journal of Political Economy,Economics,1,1*,3,A,A+,4*,EP*,15.2,A+,A*,1*
0022-3816,Journal of Politics,Sociology,,,2,,,4,EP,5.1,,,
